delivery_id,order_id,delivery_status,delivery_time,rider_id
119,119,Delivered,26,266
120,120,Delivered,22,67
121,121,Delivered,70,295
122,122,Delivered,33,143
123,123,Delivered,43,251
124,124,Delivered,38,221
125,125,Delivered,70,237
126,126,Delivered,29,113
127,127,Delivered,41,154
128,128,Cancelled,0,215
129,129,Delivered,40,175
130,130,Delivered,42,106
131,131,Cancelled,0,87
132,132,Delivered,42,1
133,133,Delivered,35,242
134,134,Delivered,60,25
135,135,Delivered,29,173
136,136,Delivered,25,72
137,137,Delivered,38,48
138,138,Delivered,55,232
139,139,Delivered,35,12
140,140,Delivered,29,113
141,141,Delivered,30,91
142,142,Delivered,75,107
143,143,Delivered,75,186
144,144,Delivered,27,2
145,145,Delivered,35,169
146,146,Delivered,50,130
147,147,Delivered,32,298
148,148,Delivered,44,259
149,149,Delivered,61,148
150,150,Delivered,45,189
151,151,Delivered,40,54
152,152,Delivered,75,168
153,153,Delivered,60,188
154,154,Delivered,24,124
155,155,Cancelled,0,216
156,156,Delivered,30,56
157,157,Delivered,25,94
158,158,Delivered,33,17
159,159,Delivered,68,152
160,160,Delivered,42,200
161,161,Delivered,42,146
162,162,Delivered,24,31
163,163,Cancelled,0,66
164,164,Delivered,41,140
165,165,Delivered,44,11
166,166,Cancelled,0,19
167,167,Delivered,66,197
168,168,Delivered,69,275
169,169,Delivered,32,130
170,170,Delivered,52,193
171,171,Delivered,64,201
172,172,Delivered,73,263
173,173,Delivered,52,214
174,174,Delivered,39,247
175,175,Delivered,59,147
176,176,Delivered,36,21
177,177,Delivered,44,136
178,178,Delivered,22,54
179,179,Delivered,69,77
180,180,Delivered,40,29
181,181,Cancelled,0,91
182,182,Delivered,39,155
183,183,Delivered,22,18
184,184,Delivered,43,222
185,185,Delivered,32,19
186,186,Delivered,40,166
187,187,Cancelled,0,186
188,188,Delivered,57,72
189,189,Delivered,74,222
190,190,Delivered,61,185
191,191,Delivered,45,91
192,192,Delivered,56,285
193,193,Delivered,43,279
194,194,Delivered,52,85
195,195,Delivered,72,123
196,196,Delivered,67,55
197,197,Delivered,41,172
198,198,Delivered,53,96
199,199,Delivered,40,209
200,200,Delivered,66,90
201,201,Delivered,29,165
202,202,Delivered,29,180
203,203,Delivered,42,276
204,204,Delivered,55,241
205,205,Delivered,68,262
206,206,Delivered,46,100
207,207,Delivered,54,257
208,208,Delivered,63,73
209,209,Delivered,35,296
210,210,Delivered,23,219
211,211,Delivered,51,185
212,212,Delivered,45,287
213,213,Delivered,37,60
214,214,Delivered,70,158
215,215,Delivered,56,245
216,216,Delivered,25,232
217,217,Out for Delivery,21,216
218,218,Delivered,26,293
219,219,Delivered,46,243
220,220,Delivered,27,291
221,221,Delivered,28,119
222,222,Delivered,63,221
223,223,Delivered,50,292
224,224,Cancelled,0,260
225,225,Delivered,46,29
226,226,Delivered,34,268
227,227,Delivered,51,90
228,228,Delivered,75,114
229,229,Delivered,31,298
230,230,Delivered,43,112
231,231,Delivered,74,204
232,232,Delivered,32,151
233,233,Cancelled,0,83
234,234,Delivered,48,57
235,235,Delivered,55,259
236,236,Delivered,51,172
237,237,Delivered,45,91
238,238,Delivered,56,221
239,239,Delivered,37,104
240,240,Delivered,64,172
241,241,Delivered,40,50
242,242,Delivered,34,147
243,243,Delivered,74,262
244,244,Delivered,70,125
245,245,Delivered,68,69
246,246,Delivered,68,79
247,247,Delivered,65,256
248,248,Delivered,51,104
249,249,Delivered,69,256
250,250,Delivered,74,14
251,251,Delivered,52,240
252,252,Delivered,40,16
253,253,Delivered,63,213
254,254,Delivered,42,14
255,255,Delivered,41,102
256,256,Out for Delivery,34,31
257,257,Out for Delivery,14,91
258,258,Delivered,69,241
259,259,Delivered,50,20
260,260,Delivered,73,83
261,261,Out for Delivery,35,241
262,262,Out for Delivery,23,155
263,263,Out for Delivery,12,155
264,264,Delivered,51,92
265,265,Delivered,32,14
266,266,Delivered,75,202
267,267,Delivered,26,223
268,268,Delivered,26,186
269,269,Delivered,69,142
270,270,Out for Delivery,35,63
271,271,Delivered,72,267
272,272,Delivered,66,188
273,273,Delivered,65,149
274,274,Delivered,38,278
275,275,Delivered,36,211
276,276,Delivered,23,68
277,277,Delivered,51,238
278,278,Cancelled,0,70
279,279,Out for Delivery,17,253
280,280,Delivered,55,109
281,281,Delivered,67,203
282,282,Delivered,65,270
283,283,Delivered,46,190
284,284,Delivered,52,13
285,285,Delivered,62,59
286,286,Delivered,52,160
287,287,Delivered,28,121
288,288,Delivered,71,140
289,289,Delivered,27,63
290,290,Delivered,62,39
291,291,Delivered,30,19
292,292,Delivered,59,21
293,293,Delivered,61,224
294,294,Delivered,52,55
295,295,Delivered,58,227
296,296,Out for Delivery,30,259
297,297,Delivered,46,264
298,298,Delivered,60,109
299,299,Delivered,72,43
300,300,Delivered,58,164
301,301,Delivered,34,207
302,302,Delivered,72,117
303,303,Delivered,61,50
304,304,Delivered,25,241
305,305,Delivered,21,124
306,306,Delivered,70,28
307,307,Delivered,25,36
308,308,Delivered,54,204
309,309,Delivered,59,244
310,310,Cancelled,0,100
311,311,Delivered,42,29
312,312,Delivered,66,186
313,313,Delivered,33,15
314,314,Delivered,28,222
315,315,Delivered,28,46
316,316,Delivered,20,152
317,317,Delivered,65,21
318,318,Out for Delivery,19,80
319,319,Delivered,47,269
320,320,Out for Delivery,33,90
321,321,Delivered,44,258
322,322,Delivered,36,105
323,323,Delivered,41,209
324,324,Delivered,72,90
325,325,Delivered,51,192
326,326,Delivered,58,196
327,327,Delivered,46,182
328,328,Delivered,65,95
329,329,Cancelled,0,202
330,330,Delivered,62,130
331,331,Delivered,61,108
332,332,Delivered,70,50
333,333,Delivered,59,213
334,334,Out for Delivery,35,86
335,335,Delivered,28,57
336,336,Delivered,46,154
337,337,Delivered,28,266
338,338,Delivered,25,144
339,339,Delivered,62,216
340,340,Out for Delivery,20,286
341,341,Delivered,28,27
342,342,Delivered,74,101
343,343,Delivered,61,2
344,344,Delivered,33,51
345,345,Delivered,60,205
346,346,Delivered,40,181
347,347,Delivered,26,107
348,348,Cancelled,0,98
349,349,Delivered,37,31
350,350,Delivered,48,18
351,351,Delivered,42,20
352,352,Delivered,50,261
353,353,Delivered,39,162
354,354,Delivered,62,290
355,355,Delivered,36,25
356,356,Delivered,65,110
357,357,Delivered,73,76
358,358,Out for Delivery,40,165
359,359,Delivered,63,226
360,360,Delivered,71,165
361,361,Cancelled,0,15
362,362,Delivered,57,197
363,363,Delivered,41,56
364,364,Delivered,51,219
365,365,Delivered,30,163
366,366,Delivered,49,127
367,367,Delivered,49,132
368,368,Delivered,50,65
369,369,Delivered,60,102
370,370,Delivered,40,245
371,371,Delivered,27,18
372,372,Out for Delivery,26,249
373,373,Delivered,67,160
374,374,Delivered,23,196
375,375,Delivered,68,42
376,376,Delivered,57,66
377,377,Out for Delivery,16,259
378,378,Delivered,36,198
379,379,Delivered,42,67
380,380,Delivered,58,270
381,381,Delivered,55,187
382,382,Delivered,34,131
383,383,Delivered,29,297
384,384,Delivered,42,138
385,385,Delivered,30,151
386,386,Delivered,55,200
387,387,Delivered,35,168
388,388,Delivered,31,94
389,389,Delivered,38,24
390,390,Delivered,45,279
391,391,Delivered,28,159
392,392,Cancelled,0,283
393,393,Delivered,71,6
394,394,Cancelled,0,99
395,395,Out for Delivery,17,263
396,396,Delivered,69,128
397,397,Delivered,60,194
398,398,Delivered,37,31
399,399,Delivered,42,273
400,400,Delivered,40,121
401,401,Delivered,48,50
402,402,Delivered,46,48
403,403,Delivered,32,163
404,404,Delivered,67,49
405,405,Delivered,26,159
406,406,Delivered,33,192
407,407,Delivered,49,277
408,408,Delivered,28,120
409,409,Delivered,50,93
410,410,Cancelled,0,103
411,411,Delivered,43,7
412,412,Delivered,44,76
413,413,Delivered,41,195
414,414,Delivered,56,125
415,415,Out for Delivery,29,23
416,416,Out for Delivery,20,75
417,417,Delivered,26,226
418,418,Delivered,72,228
419,419,Delivered,61,93
420,420,Cancelled,0,107
421,421,Delivered,44,269
422,422,Delivered,28,148
423,423,Delivered,28,281
424,424,Delivered,26,34
425,425,Delivered,45,15
426,426,Delivered,28,102
427,427,Delivered,73,193
428,428,Delivered,49,172
429,429,Delivered,40,136
430,430,Delivered,50,77
431,431,Delivered,65,17
432,432,Delivered,29,46
433,433,Cancelled,0,56
434,434,Delivered,58,112
435,435,Delivered,44,117
436,436,Delivered,36,71
437,437,Delivered,69,10
438,438,Delivered,40,276
439,439,Delivered,58,246
440,440,Delivered,43,11
441,441,Delivered,26,86
442,442,Delivered,21,48
443,443,Delivered,32,27
444,444,Delivered,70,239
445,445,Delivered,40,38
446,446,Delivered,48,3
447,447,Delivered,38,164
448,448,Delivered,22,134
449,449,Delivered,54,13
450,450,Delivered,64,111
451,451,Delivered,59,158
452,452,Delivered,52,215
453,453,Cancelled,0,198
454,454,Delivered,50,242
455,455,Delivered,62,241
456,456,Cancelled,0,80
457,457,Delivered,36,222
458,458,Delivered,21,30
459,459,Cancelled,0,201
460,460,Delivered,49,40
461,461,Delivered,60,246
462,462,Delivered,49,205
463,463,Delivered,51,212
464,464,Delivered,74,262
465,465,Delivered,74,202
466,466,Delivered,71,214
467,467,Delivered,67,219
468,468,Delivered,64,239
469,469,Delivered,39,287
470,470,Delivered,36,175
471,471,Delivered,45,26
472,472,Delivered,25,289
473,473,Delivered,69,173
474,474,Delivered,49,241
475,475,Delivered,34,219
476,476,Delivered,28,53
477,477,Delivered,26,207
478,478,Delivered,69,117
479,479,Cancelled,0,98
480,480,Delivered,29,200
481,481,Delivered,30,211
482,482,Delivered,30,138
483,483,Delivered,24,214
484,484,Cancelled,0,120
485,485,Delivered,67,61
486,486,Delivered,36,180
487,487,Delivered,32,272
488,488,Out for Delivery,37,243
489,489,Delivered,47,26
490,490,Delivered,58,245
491,491,Delivered,63,214
492,492,Out for Delivery,17,103
493,493,Delivered,25,119
494,494,Cancelled,0,267
495,495,Delivered,31,136
496,496,Delivered,64,84
497,497,Delivered,26,187
498,498,Delivered,72,81
499,499,Delivered,24,66
500,500,Delivered,26,177
501,501,Cancelled,0,210
502,502,Delivered,44,180
503,503,Delivered,69,76
504,504,Cancelled,0,114
505,505,Delivered,56,236
506,506,Cancelled,0,168
507,507,Out for Delivery,13,300
508,508,Delivered,35,147
509,509,Delivered,36,257
510,510,Out for Delivery,36,3
511,511,Delivered,20,174
512,512,Delivered,59,286
513,513,Delivered,58,239
514,514,Delivered,45,5
515,515,Delivered,60,247
516,516,Delivered,30,214
517,517,Delivered,70,279
518,518,Cancelled,0,89
519,519,Delivered,30,269
520,520,Delivered,52,165
521,521,Delivered,28,120
522,522,Delivered,73,189
523,523,Delivered,26,200
524,524,Delivered,46,231
525,525,Delivered,43,180
526,526,Delivered,31,258
527,527,Delivered,44,109
528,528,Delivered,65,58
529,529,Delivered,20,211
530,530,Delivered,51,151
531,531,Delivered,29,69
532,532,Delivered,22,31
533,533,Delivered,31,21
534,534,Delivered,29,257
535,535,Delivered,64,79
536,536,Delivered,38,49
537,537,Delivered,32,173
538,538,Delivered,42,128
539,539,Delivered,66,74
540,540,Cancelled,0,149
541,541,Delivered,52,145
542,542,Delivered,34,133
543,543,Delivered,65,256
544,544,Delivered,62,27
545,545,Delivered,48,206
546,546,Delivered,68,198
547,547,Delivered,65,126
548,548,Delivered,50,23
549,549,Out for Delivery,10,75
550,550,Delivered,35,260
551,551,Delivered,21,28
552,552,Delivered,51,180
553,553,Delivered,34,237
554,554,Cancelled,0,205
555,555,Cancelled,0,91
556,556,Delivered,36,233
557,557,Delivered,51,257
558,558,Out for Delivery,26,207
559,559,Delivered,36,84
560,560,Out for Delivery,16,129
561,561,Delivered,63,172
562,562,Delivered,67,65
563,563,Delivered,67,176
564,564,Delivered,29,288
565,565,Delivered,27,103
566,566,Cancelled,0,120
567,567,Delivered,36,279
568,568,Delivered,25,245
569,569,Delivered,51,114
570,570,Delivered,63,51
571,571,Cancelled,0,116
572,572,Delivered,72,228
573,573,Delivered,42,17
574,574,Delivered,25,159
575,575,Delivered,33,59
576,576,Cancelled,0,172
577,577,Delivered,33,185
578,578,Delivered,36,86
579,579,Delivered,63,280
580,580,Delivered,42,64
581,581,Delivered,39,244
582,582,Delivered,53,282
583,583,Delivered,51,139
584,584,Delivered,63,216
585,585,Delivered,44,69
586,586,Delivered,64,149
587,587,Delivered,51,256
588,588,Delivered,50,204
589,589,Delivered,27,249
590,590,Delivered,20,152
591,591,Delivered,40,153
592,592,Delivered,38,139
593,593,Delivered,30,74
594,594,Cancelled,0,236
595,595,Delivered,51,175
596,596,Delivered,70,4
597,597,Delivered,52,115
598,598,Delivered,30,116
599,599,Delivered,28,283
600,600,Delivered,44,32
601,601,Delivered,21,211
602,602,Delivered,68,110
603,603,Delivered,39,222
604,604,Delivered,40,237
605,605,Delivered,24,67
606,606,Delivered,70,92
607,607,Delivered,56,47
608,608,Out for Delivery,10,244
609,609,Delivered,41,261
610,610,Delivered,58,37
611,611,Delivered,53,40
612,612,Delivered,52,133
613,613,Delivered,34,291
614,614,Delivered,40,121
615,615,Delivered,55,85
616,616,Delivered,38,182
617,617,Delivered,64,283
618,618,Delivered,49,75
619,619,Delivered,32,229
620,620,Delivered,68,70
621,621,Delivered,41,21
622,622,Delivered,66,112
623,623,Delivered,66,287
624,624,Delivered,31,84
625,625,Delivered,33,270
626,626,Delivered,48,195
627,627,Delivered,46,82
628,628,Delivered,33,128
629,629,Delivered,69,294
630,630,Delivered,41,296
631,631,Delivered,22,201
632,632,Delivered,39,49
633,633,Delivered,66,118
634,634,Delivered,69,44
635,635,Delivered,23,57
636,636,Delivered,22,30
637,637,Delivered,25,108
638,638,Delivered,30,216
639,639,Delivered,70,31
640,640,Delivered,62,194
641,641,Delivered,39,175
642,642,Delivered,43,212
643,643,Delivered,28,273
644,644,Delivered,56,3
645,645,Delivered,51,117
646,646,Delivered,31,135
647,647,Delivered,43,220
648,648,Delivered,62,23
649,649,Delivered,35,111
650,650,Delivered,38,220
651,651,Delivered,72,185
652,652,Delivered,36,96
653,653,Delivered,34,149
654,654,Delivered,33,180
655,655,Delivered,55,101
656,656,Delivered,49,145
657,657,Out for Delivery,31,30
658,658,Delivered,54,103
659,659,Delivered,63,23
660,660,Cancelled,0,241
661,661,Delivered,64,161
662,662,Delivered,44,57
663,663,Delivered,53,42
664,664,Delivered,39,298
665,665,Delivered,69,299
666,666,Delivered,72,153
667,667,Delivered,66,261
668,668,Delivered,74,67
669,669,Delivered,71,70
670,670,Delivered,44,158
671,671,Delivered,69,255
672,672,Delivered,30,241
673,673,Delivered,32,83
674,674,Delivered,64,108
675,675,Delivered,58,60
676,676,Cancelled,0,24
677,677,Delivered,61,225
678,678,Delivered,71,72
679,679,Delivered,63,278
680,680,Delivered,40,69
681,681,Delivered,46,183
682,682,Delivered,61,101
683,683,Delivered,75,190
684,684,Delivered,25,118
685,685,Cancelled,0,97
686,686,Delivered,57,271
687,687,Delivered,68,67
688,688,Delivered,38,124
689,689,Delivered,55,278
690,690,Delivered,28,196
691,691,Delivered,59,106
692,692,Delivered,70,146
693,693,Delivered,20,123
694,694,Delivered,59,267
695,695,Delivered,72,243
696,696,Delivered,55,149
697,697,Delivered,35,79
698,698,Delivered,75,142
699,699,Delivered,44,71
700,700,Out for Delivery,31,168
701,701,Out for Delivery,20,240
702,702,Delivered,34,91
703,703,Delivered,30,93
704,704,Out for Delivery,26,172
705,705,Out for Delivery,23,177
706,706,Delivered,61,9
707,707,Cancelled,0,99
708,708,Delivered,56,44
709,709,Delivered,20,120
710,710,Delivered,20,204
711,711,Delivered,47,174
712,712,Delivered,74,40
713,713,Delivered,65,214
714,714,Delivered,36,271
715,715,Delivered,34,151
716,716,Delivered,23,169
717,717,Out for Delivery,17,117
718,718,Delivered,35,44
719,719,Out for Delivery,32,227
720,720,Delivered,74,299
721,721,Delivered,64,132
722,722,Delivered,25,196
723,723,Delivered,28,249
724,724,Cancelled,0,268
725,725,Delivered,24,114
726,726,Delivered,44,164
727,727,Delivered,56,232
728,728,Delivered,39,27
729,729,Delivered,46,291
730,730,Delivered,75,253
731,731,Delivered,27,140
732,732,Delivered,47,11
733,733,Delivered,31,103
734,734,Delivered,45,21
735,735,Delivered,41,286
736,736,Delivered,34,98
737,737,Delivered,57,297
738,738,Delivered,30,257
739,739,Delivered,73,9
740,740,Delivered,69,4
741,741,Delivered,26,24
742,742,Delivered,28,274
743,743,Delivered,35,254
744,744,Delivered,53,90
745,745,Delivered,20,251
746,746,Delivered,20,298
747,747,Delivered,28,243
748,748,Out for Delivery,37,280
749,749,Cancelled,0,195
750,750,Delivered,45,126
751,751,Delivered,68,181
752,752,Delivered,46,60
753,753,Out for Delivery,28,280
754,754,Cancelled,0,188
755,755,Delivered,39,39
756,756,Delivered,48,254
757,757,Delivered,57,137
758,758,Delivered,67,260
759,759,Delivered,63,11
760,760,Out for Delivery,30,185
761,761,Delivered,68,236
762,762,Cancelled,0,272
763,763,Delivered,61,48
764,764,Delivered,25,149
765,765,Delivered,35,106
766,766,Delivered,32,177
767,767,Delivered,28,276
768,768,Delivered,53,278
769,769,Delivered,63,16
770,770,Delivered,23,215
771,771,Delivered,28,260
772,772,Delivered,22,146
773,773,Delivered,42,148
774,774,Cancelled,0,248
775,775,Cancelled,0,93
776,776,Delivered,30,179
777,777,Delivered,43,283
778,778,Delivered,56,137
779,779,Delivered,21,198
780,780,Delivered,69,42
781,781,Delivered,21,126
782,782,Delivered,30,195
783,783,Delivered,72,119
784,784,Delivered,47,238
785,785,Cancelled,0,65
786,786,Out for Delivery,14,178
787,787,Delivered,44,47
788,788,Delivered,57,123
789,789,Delivered,51,222
790,790,Delivered,22,74
791,791,Delivered,50,223
792,792,Delivered,46,11
793,793,Delivered,59,63
794,794,Delivered,64,95
795,795,Cancelled,0,165
796,796,Delivered,74,175
797,797,Delivered,33,224
798,798,Delivered,75,47
799,799,Delivered,66,38
800,800,Delivered,33,71
801,801,Delivered,54,241
802,802,Delivered,60,142
803,803,Delivered,69,148
804,804,Delivered,37,124
805,805,Delivered,63,165
806,806,Delivered,20,3
807,807,Delivered,61,181
808,808,Delivered,55,12
809,809,Out for Delivery,31,204
810,810,Delivered,43,166
811,811,Delivered,27,111
812,812,Delivered,51,85
813,813,Delivered,25,91
814,814,Delivered,42,268
815,815,Delivered,33,149
816,816,Delivered,61,251
817,817,Delivered,30,140
818,818,Out for Delivery,28,161
819,819,Delivered,24,56
820,820,Delivered,23,198
821,821,Delivered,21,13
822,822,Delivered,26,35
823,823,Delivered,50,193
824,824,Delivered,71,181
825,825,Delivered,23,268
826,826,Delivered,50,108
827,827,Delivered,20,120
828,828,Delivered,58,8
829,829,Delivered,40,210
830,830,Delivered,60,250
831,831,Delivered,28,119
832,832,Delivered,42,1
833,833,Delivered,28,49
834,834,Delivered,23,28
835,835,Out for Delivery,22,84
836,836,Cancelled,0,193
837,837,Delivered,21,132
838,838,Delivered,51,129
839,839,Delivered,34,41
840,840,Delivered,68,128
841,841,Delivered,48,248
842,842,Out for Delivery,18,275
843,843,Delivered,23,270
844,844,Delivered,53,127
845,845,Out for Delivery,38,244
846,846,Delivered,44,214
847,847,Delivered,41,10
848,848,Delivered,72,279
849,849,Delivered,67,287
850,850,Cancelled,0,103
851,851,Delivered,57,176
852,852,Delivered,22,127
853,853,Delivered,21,34
854,854,Delivered,69,146
855,855,Delivered,35,212
856,856,Delivered,67,177
857,857,Delivered,49,84
858,858,Delivered,66,288
859,859,Out for Delivery,38,189
860,860,Delivered,54,159
861,861,Delivered,29,157
862,862,Cancelled,0,204
863,863,Delivered,36,242
864,864,Cancelled,0,225
865,865,Out for Delivery,31,276
866,866,Delivered,40,150
867,867,Delivered,71,141
868,868,Delivered,59,11
869,869,Delivered,65,45
870,870,Delivered,48,212
871,871,Delivered,53,259
872,872,Delivered,45,125
873,873,Delivered,55,107
874,874,Cancelled,0,118
875,875,Delivered,62,67
876,876,Delivered,29,124
877,877,Delivered,75,145
878,878,Delivered,74,59
879,879,Delivered,62,70
880,880,Delivered,23,118
881,881,Delivered,68,38
882,882,Delivered,26,298
883,883,Delivered,67,171
884,884,Delivered,70,281
885,885,Delivered,66,203
886,886,Delivered,23,165
887,887,Delivered,50,77
888,888,Delivered,55,258
889,889,Delivered,69,99
890,890,Cancelled,0,29
891,891,Delivered,38,199
892,892,Cancelled,0,265
893,893,Delivered,27,23
894,894,Delivered,60,129
895,895,Delivered,59,278
896,896,Out for Delivery,40,247
897,897,Delivered,66,93
898,898,Delivered,32,14
899,899,Delivered,36,64
900,900,Delivered,21,71
901,901,Delivered,22,178
902,902,Delivered,69,238
903,903,Delivered,71,137
904,904,Cancelled,0,197
905,905,Delivered,30,5
906,906,Delivered,29,12
907,907,Delivered,66,251
908,908,Delivered,36,243
909,909,Delivered,24,119
910,910,Delivered,49,286
911,911,Delivered,67,135
912,912,Delivered,27,148
913,913,Delivered,26,142
914,914,Cancelled,0,117
915,915,Delivered,70,33
916,916,Delivered,34,256
917,917,Delivered,67,63
918,918,Delivered,39,276
919,919,Delivered,35,291
920,920,Delivered,41,195
921,921,Delivered,64,142
922,922,Delivered,58,179
923,923,Delivered,35,189
924,924,Delivered,44,119
925,925,Delivered,71,253
926,926,Delivered,38,270
927,927,Delivered,30,78
928,928,Delivered,50,270
929,929,Delivered,24,78
930,930,Delivered,41,39
931,931,Delivered,33,106
932,932,Cancelled,0,215
933,933,Delivered,42,157
934,934,Delivered,62,99
935,935,Delivered,66,27
936,936,Delivered,70,188
937,937,Delivered,44,17
938,938,Out for Delivery,35,164
939,939,Delivered,30,108
940,940,Delivered,70,269
941,941,Delivered,69,79
942,942,Delivered,73,215
943,943,Delivered,53,50
944,944,Delivered,25,287
945,945,Cancelled,0,27
946,946,Delivered,41,207
947,947,Delivered,67,184
948,948,Delivered,21,181
949,949,Delivered,69,238
950,950,Delivered,70,49
951,951,Cancelled,0,121
952,952,Out for Delivery,31,173
953,953,Delivered,42,167
954,954,Delivered,59,25
955,955,Delivered,30,221
956,956,Delivered,70,268
957,957,Cancelled,0,155
958,958,Delivered,66,87
959,959,Delivered,71,31
960,960,Delivered,24,299
961,961,Delivered,73,298
962,962,Delivered,38,137
963,963,Delivered,34,103
964,964,Delivered,60,14
965,965,Delivered,29,216
966,966,Delivered,20,263
967,967,Delivered,26,41
968,968,Delivered,65,242
969,969,Delivered,49,61
970,970,Delivered,68,25
971,971,Delivered,45,253
972,972,Cancelled,0,92
973,973,Delivered,35,127
974,974,Delivered,47,72
975,975,Delivered,65,260
976,976,Delivered,75,184
977,977,Cancelled,0,281
978,978,Delivered,22,239
979,979,Delivered,27,188
980,980,Delivered,42,7
981,981,Delivered,61,76
982,982,Delivered,47,160
983,983,Delivered,64,250
984,984,Delivered,43,287
985,985,Delivered,49,72
986,986,Out for Delivery,13,94
987,987,Out for Delivery,38,160
988,988,Delivered,73,269
989,989,Delivered,39,4
990,990,Delivered,20,98
991,991,Delivered,29,219
992,992,Delivered,54,119
993,993,Delivered,35,114
994,994,Delivered,49,269
995,995,Delivered,40,127
996,996,Delivered,66,84
997,997,Delivered,45,206
998,998,Delivered,23,119
999,999,Delivered,70,239
1000,1000,Delivered,25,53
1001,1001,Delivered,34,78
1002,1002,Delivered,66,1
1003,1003,Delivered,61,251
1004,1004,Delivered,23,256
1005,1005,Delivered,60,83
1006,1006,Delivered,60,6
1007,1007,Delivered,70,58
1008,1008,Delivered,31,59
1009,1009,Delivered,39,171
1010,1010,Out for Delivery,38,63
1011,1011,Delivered,74,262
1012,1012,Cancelled,0,134
1013,1013,Delivered,34,4
1014,1014,Delivered,26,60
1015,1015,Out for Delivery,19,168
1016,1016,Delivered,24,12
1017,1017,Delivered,72,52
1018,1018,Out for Delivery,12,202
1019,1019,Delivered,64,161
1020,1020,Delivered,65,39
1021,1021,Out for Delivery,38,151
1022,1022,Delivered,44,105
1023,1023,Cancelled,0,166
1024,1024,Delivered,23,14
1025,1025,Delivered,44,158
1026,1026,Delivered,71,47
1027,1027,Delivered,20,183
1028,1028,Delivered,37,285
1029,1029,Delivered,72,269
1030,1030,Delivered,71,71
1031,1031,Delivered,24,181
1032,1032,Delivered,37,162
1033,1033,Delivered,64,295
1034,1034,Delivered,60,36
1035,1035,Delivered,46,130
1036,1036,Cancelled,0,160
1037,1037,Delivered,71,170
1038,1038,Delivered,38,10
1039,1039,Out for Delivery,32,178
1040,1040,Delivered,42,23
1041,1041,Out for Delivery,13,165
1042,1042,Cancelled,0,277
1043,1043,Delivered,54,283
1044,1044,Delivered,29,271
1045,1045,Delivered,28,18
